dataset,scenario,category,baseline_correct,baseline_total,baseline_accuracy,framework_correct,framework_total,framework_accuracy,improvement
friends_meeting_001.json,friends_meeting,object,0,8,0.0,0,8,0.0,0.0
friends_meeting_001.json,friends_meeting,person,2,6,0.3333333333333333,2,6,0.3333333333333333,0.0
friends_meeting_001.json,friends_meeting,spatial,0,3,0.0,0,3,0.0,0.0
friends_meeting_001.json,friends_meeting,temporal,0,0,0.0,0,0,0.0,0.0
friends_meeting_001.json,friends_meeting,object,1,5,0.2,1,5,0.2,0.0
friends_meeting_002.json,friends_meeting,person,0,2,0.0,0,2,0.0,0.0
friends_meeting_002.json,friends_meeting,spatial,2,3,0.6666666666666666,2,3,0.6666666666666666,0.0
friends_meeting_002.json,friends_meeting,temporal,0,0,0.0,0,0,0.0,0.0
friends_meeting_002.json,friends_meeting,object,1,6,0.16666666666666666,1,6,0.16666666666666666,0.0
friends_meeting_002.json,friends_meeting,person,1,2,0.5,1,2,0.5,0.0
friends_meeting_002.json,friends_meeting,spatial,3,5,0.6,3,5,0.6,0.0
friends_meeting_002.json,friends_meeting,temporal,0,0,0.0,0,0,0.0,0.0
friends_meeting_002.json,friends_meeting,object,2,8,0.25,1,8,0.125,-0.125
friends_meeting_003.json,friends_meeting,person,1,3,0.3333333333333333,0,3,0.0,-0.3333333333333333
friends_meeting_003.json,friends_meeting,spatial,1,4,0.25,0,4,0.0,-0.25
friends_meeting_003.json,friends_meeting,temporal,0,2,0.0,0,2,0.0,0.0
friends_meeting_003.json,friends_meeting,object,0,5,0.0,0,5,0.0,0.0
friends_meeting_003.json,friends_meeting,person,0,2,0.0,0,2,0.0,0.0
friends_meeting_003.json,friends_meeting,spatial,0,4,0.0,0,4,0.0,0.0
friends_meeting_003.json,friends_meeting,temporal,0,1,0.0,0,1,0.0,0.0
friends_meeting_003.json,friends_meeting,object,0,4,0.0,0,4,0.0,0.0
work_collaboration_001.json,work_collaboration,person,0,3,0.0,0,3,0.0,0.0
work_collaboration_001.json,work_collaboration,spatial,1,4,0.25,0,4,0.0,-0.25
work_collaboration_001.json,work_collaboration,temporal,0,0,0.0,0,0,0.0,0.0
work_collaboration_001.json,work_collaboration,object,0,1,0.0,0,1,0.0,0.0
work_collaboration_001.json,work_collaboration,person,0,8,0.0,0,8,0.0,0.0
work_collaboration_001.json,work_collaboration,spatial,0,0,0.0,0,0,0.0,0.0
work_collaboration_001.json,work_collaboration,temporal,0,1,0.0,0,1,0.0,0.0
work_collaboration_001.json,work_collaboration,object,0,3,0.0,0,3,0.0,0.0
work_collaboration_002.json,work_collaboration,person,0,1,0.0,0,1,0.0,0.0
work_collaboration_002.json,work_collaboration,spatial,1,2,0.5,0,2,0.0,-0.5
work_collaboration_002.json,work_collaboration,temporal,0,2,0.0,0,2,0.0,0.0
work_collaboration_002.json,work_collaboration,object,0,2,0.0,0,2,0.0,0.0
work_collaboration_002.json,work_collaboration,person,0,4,0.0,0,4,0.0,0.0
work_collaboration_002.json,work_collaboration,spatial,0,2,0.0,0,2,0.0,0.0
work_collaboration_002.json,work_collaboration,temporal,0,1,0.0,0,1,0.0,0.0
work_collaboration_002.json,work_collaboration,object,0,5,0.0,0,5,0.0,0.0
work_collaboration_003.json,work_collaboration,person,0,3,0.0,0,3,0.0,0.0
work_collaboration_003.json,work_collaboration,spatial,1,2,0.5,1,2,0.5,0.0
work_collaboration_003.json,work_collaboration,temporal,0,1,0.0,0,1,0.0,0.0
work_collaboration_003.json,work_collaboration,object,1,3,0.3333333333333333,0,3,0.0,-0.3333333333333333
work_collaboration_003.json,work_collaboration,person,0,3,0.0,0,3,0.0,0.0
work_collaboration_003.json,work_collaboration,spatial,0,4,0.0,0,4,0.0,0.0
work_collaboration_003.json,work_collaboration,temporal,0,0,0.0,0,0,0.0,0.0
work_collaboration_003.json,work_collaboration,object,0,1,0.0,0,1,0.0,0.0
